timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-19T15:07:17.828870+00:00,btc-updown-15m-1766156400,TRADE,UP,ASYMMETRIC,10,10,0.5100,5.1001,10,0.5100,0,0.0000,0,0.0000,0.0000,1.00,-5.1001,4.8999,0.0000,94.90,SUCCESS
2025-12-19T15:15:07.150365+00:00,btc-updown-15m-1766157300,TRADE,DOWN,VOLATILITY,10,10,0.5201,5.2014,0,0.0000,10,0.5201,0,0.0000,0.0000,1.00,-5.2014,4.7986,0.0000,94.80,SUCCESS
2025-12-19T16:54:12.757012+00:00,btc-updown-15m-1766162700,TRADE,UP,ACCUM,2,2,0.0300,0.0600,2,0.0300,0,0.0000,0,0.0000,0.0000,1.00,-0.0600,1.9400,0.0000,99.94,SUCCESS
2025-12-19T16:54:13.188015+00:00,btc-updown-15m-1766162700,TRADE,UP,ACCUM,2,2,0.0300,0.0600,4,0.0300,0,0.0000,0,0.0000,0.0000,1.00,-0.1200,3.8800,0.0000,99.88,SUCCESS
2025-12-19T16:54:13.188429+00:00,btc-updown-15m-1766162700,TRADE,DOWN,ACCUM,2,2,0.9802,1.9603,4,0.0300,2,0.9802,2,1.0102,-0.0203,0.50,-0.0803,1.9197,0.0000,97.92,SUCCESS
2025-12-19T17:00:00.073852+00:00,btc-updown-15m-1766162700,RESOLUTION,DOWN,MARKET_END,6,6,1.0000,2.0803,4,0.0300,2,0.9802,2,1.0102,-0.0203,0.50,0.0000,0.0000,-0.1403,99.92,RESOLVED
2025-12-19T17:00:02.541199+00:00,btc-updown-15m-1766163600,TRADE,UP,ACCUM,2,2,0.5401,1.0803,2,0.5401,0,0.0000,0,0.0000,0.0000,1.00,-1.0803,0.9197,0.0000,98.84,SUCCESS
2025-12-19T17:00:02.541443+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4702,0.9405,2,0.5401,2,0.4702,2,1.0104,-0.0207,0.00,-0.0207,-0.0207,0.0000,97.90,SUCCESS
2025-12-19T17:00:05.771497+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4300,0.8600,2,0.5401,4,0.4501,2,0.9903,0.0195,0.50,-0.8807,1.1193,0.0000,97.04,SUCCESS
2025-12-19T17:00:06.177660+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4502,0.9003,2,0.5401,6,0.4501,2,0.9903,0.0195,0.67,-1.7811,2.2189,0.0000,96.14,SUCCESS
2025-12-19T17:00:06.668825+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4501,0.9002,2,0.5401,8,0.4501,2,0.9903,0.0195,0.75,-2.6813,3.3187,0.0000,95.24,SUCCESS
2025-12-19T17:00:07.159653+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4602,0.9204,2,0.5401,10,0.4521,2,0.9923,0.0154,0.80,-3.6017,4.3983,0.0000,94.32,SUCCESS
2025-12-19T17:00:07.619331+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4602,0.9204,2,0.5401,12,0.4535,2,0.9936,0.0128,0.83,-4.5221,5.4779,0.0000,93.40,SUCCESS
2025-12-19T17:00:08.389268+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4402,0.8804,2,0.5401,14,0.4516,2,0.9917,0.0166,0.86,-5.4024,6.5976,0.0000,92.52,SUCCESS
2025-12-19T17:00:09.625220+00:00,btc-updown-15m-1766163600,TRADE,UP,ACCUM,2,2,0.5302,1.0605,4,0.5352,14,0.4516,4,0.9868,0.0529,0.71,-4.4629,5.5371,0.0000,91.46,SUCCESS
2025-12-19T17:00:09.625334+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,2,0.4701,0.9402,4,0.5352,16,0.4539,4,0.9891,0.0437,0.75,-5.4031,6.5969,0.0000,90.52,SUCCESS
2025-12-19T17:00:10.148538+00:00,btc-updown-15m-1766163600,TRADE,UP,ACCUM,2,2,0.5400,1.0801,6,0.5368,16,0.4539,6,0.9907,0.0558,0.62,-4.4832,5.5168,0.0000,89.44,SUCCESS
2025-12-19T17:00:10.148765+00:00,btc-updown-15m-1766163600,TRADE,DOWN,ACCUM,2,1,0.4901,0.4901,6,0.5368,17,0.4560,6,0.9928,0.0430,0.65,-4.9733,6.0267,0.0000,88.95,SUCCESS
2025-12-19T17:00:10.558403+00:00,btc-updown-15m-1766163600,TRADE,UP,ACCUM,2,2,0.5201,1.0402,8,0.5326,17,0.4560,8,0.9887,0.0907,0.53,-4.0136,4.9864,0.0000,87.91,SUCCESS
2025-12-19T17:00:11.067844+00:00,btc-updown-15m-1766163600,TRADE,UP,ACCUM,2,1,0.5202,0.5202,9,0.5312,17,0.4560,9,0.9873,0.1145,0.47,-3.5337,4.4663,0.0000,87.39,SUCCESS
