timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2026-01-03T12:10:36.077967+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,10,10,0.9600,9.6000,0,0.0000,10,0.9600,0,0.0000,0.0000,1.00,-9.6000,0.4000,0.0000,170.40,SUCCESS
2026-01-03T12:10:46.422090+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,10,10,0.9700,9.7000,0,0.0000,10,0.9700,0,0.0000,0.0000,1.00,-9.7000,0.3000,0.0000,170.30,SUCCESS
2026-01-03T12:12:15.768774+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,10,10,0.9700,9.7000,0,0.0000,10,0.9700,0,0.0000,0.0000,1.00,-9.7000,0.3000,0.0000,170.30,SUCCESS
2026-01-03T12:12:21.599972+00:00,btc-updown-15m-1767441600,TRADE,UP,ACCUM,10,10,0.4200,4.2000,10,0.4200,10,0.9700,10,1.3900,-3.9000,0.00,-3.9000,-3.9000,0.0000,166.10,SUCCESS
2026-01-03T12:12:27.385279+00:00,btc-updown-15m-1767441600,TRADE,UP,ACCUM,5,5,0.4000,2.0000,15,0.4133,10,0.9700,10,1.3833,-3.8333,0.33,-5.9000,-0.9000,0.0000,164.10,SUCCESS
2026-01-03T12:12:33.184482+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,5,5,0.5900,2.9500,15,0.4133,15,0.8433,15,1.2567,-3.8500,0.00,-3.8500,-3.8500,0.0000,161.15,SUCCESS
2026-01-03T12:15:03.518750+00:00,btc-updown-15m-1767441600,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,30,30,1.0000,18.8500,15,0.4133,15,0.8433,15,1.2567,-3.8500,0.00,0.0000,0.0000,-3.8500,176.15,RESOLVED
2026-01-03T12:15:13.564002+00:00,btc-updown-15m-1767442500,TRADE,UP,ACCUM,5,3,0.5100,1.5300,3,0.5100,0,0.0000,0,0.0000,0.0000,1.00,-1.5300,1.4700,0.0000,174.62,SUCCESS
2026-01-03T12:15:19.089644+00:00,btc-updown-15m-1767442500,TRADE,UP,ACCUM,5,5,0.5400,2.7000,8,0.5287,0,0.0000,0,0.0000,0.0000,1.00,-4.2300,3.7700,0.0000,171.92,SUCCESS
2026-01-03T12:15:24.627423+00:00,btc-updown-15m-1767442500,TRADE,DOWN,ACCUM,8,8,0.4498,3.5984,8,0.5287,8,0.4498,8,0.9785,0.1716,0.00,0.1716,0.1716,0.0000,168.32,SUCCESS
