timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2026-01-03T12:10:30.072352+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,10,10,0.9600,9.6000,0,0.0000,10,0.9600,0,0.0000,0.0000,1.00,-9.6000,0.4000,0.0000,170.40,SUCCESS
2026-01-03T12:10:46.856997+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,10,10,0.9700,9.7000,0,0.0000,10,0.9700,0,0.0000,0.0000,1.00,-9.7000,0.3000,0.0000,170.30,SUCCESS
2026-01-03T12:12:17.054123+00:00,btc-updown-15m-1767441600,TRADE,DOWN,ACCUM,10,10,0.9700,9.7000,0,0.0000,10,0.9700,0,0.0000,0.0000,1.00,-9.7000,0.3000,0.0000,170.30,SUCCESS
2026-01-03T12:15:04.612110+00:00,btc-updown-15m-1767441600,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,10,10,1.0000,9.7000,0,0.0000,10,0.9700,0,0.0000,0.0000,1.00,0.0000,0.0000,0.3000,180.30,RESOLVED
2026-01-03T12:15:14.687907+00:00,btc-updown-15m-1767442500,TRADE,DOWN,ACCUM,5,3,0.4200,1.2600,0,0.0000,3,0.4200,0,0.0000,0.0000,1.00,-1.2600,1.7400,0.0000,179.04,SUCCESS
2026-01-03T12:15:31.315147+00:00,btc-updown-15m-1767442500,TRADE,UP,ACCUM,5,5,0.5000,2.5000,5,0.5000,3,0.4200,3,0.9200,0.2400,0.40,-0.7600,1.2400,0.0000,176.54,SUCCESS
2026-01-03T12:15:36.890127+00:00,btc-updown-15m-1767442500,TRADE,DOWN,ACCUM,5,5,0.4100,2.0500,5,0.5000,8,0.4138,5,0.9138,0.4312,0.38,-0.8100,2.1900,0.0000,174.49,SUCCESS
2026-01-03T12:15:42.471581+00:00,btc-updown-15m-1767442500,TRADE,UP,ACCUM,5,5,0.5400,2.7000,10,0.5200,8,0.4138,8,0.9337,0.5300,0.20,-0.5100,1.4900,0.0000,171.79,SUCCESS
2026-01-03T12:15:47.966069+00:00,btc-updown-15m-1767442500,TRADE,UP,ACCUM,5,5,0.5400,2.7000,15,0.5267,8,0.4138,8,0.9404,0.4767,0.47,-3.2100,3.7900,0.0000,169.09,SUCCESS
2026-01-03T12:16:32.172281+00:00,btc-updown-15m-1767442500,TRADE,DOWN,ACCUM,5,5,0.4400,2.2000,15,0.5267,13,0.4238,13,0.9505,0.6433,0.13,-0.4100,1.5900,0.0000,166.89,SUCCESS
2026-01-03T12:30:03.002352+00:00,btc-updown-15m-1767442500,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,28,28,1.0000,13.4100,15,0.5267,13,0.4238,13,0.9505,0.6433,0.13,0.0000,0.0000,1.5900,181.89,RESOLVED
2026-01-03T12:30:23.821726+00:00,btc-updown-15m-1767443400,TRADE,DOWN,ACCUM,5,5,0.5900,2.9500,0,0.0000,5,0.5900,0,0.0000,0.0000,1.00,-2.9500,2.0500,0.0000,178.94,SUCCESS
2026-01-03T12:30:57.022923+00:00,btc-updown-15m-1767443400,TRADE,UP,ACCUM,5,5,0.2700,1.3500,5,0.2700,5,0.5900,5,0.8600,0.7000,0.00,0.7000,0.7000,0.0000,177.59,SUCCESS
2026-01-03T12:31:02.642926+00:00,btc-updown-15m-1767443400,TRADE,UP,ACCUM,5,5,0.2500,1.2500,10,0.2600,5,0.5900,5,0.8500,0.7500,0.50,-0.5500,4.4500,0.0000,176.34,SUCCESS
2026-01-03T12:31:02.644003+00:00,btc-updown-15m-1767443400,TRADE,DOWN,ACCUM,5,3,0.6800,2.0400,10,0.2600,8,0.6238,8,0.8838,0.9300,0.20,0.4100,2.4100,0.0000,174.30,SUCCESS
2026-01-03T12:31:19.170450+00:00,btc-updown-15m-1767443400,TRADE,UP,ACCUM,5,3,0.3100,0.9300,13,0.2715,8,0.6238,8,0.8953,0.8377,0.38,-0.5200,4.4800,0.0000,173.37,SUCCESS
2026-01-03T12:31:30.342250+00:00,btc-updown-15m-1767443400,TRADE,DOWN,ACCUM,5,5,0.6400,3.2000,13,0.2715,13,0.6300,13,0.9015,1.2800,0.00,1.2800,1.2800,0.0000,170.17,SUCCESS
2026-01-03T12:45:03.582128+00:00,btc-updown-15m-1767443400,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,26,26,1.0000,11.7200,13,0.2715,13,0.6300,13,0.9015,1.2800,0.00,0.0000,0.0000,1.2800,183.17,RESOLVED
2026-01-03T12:45:19.440557+00:00,btc-updown-15m-1767444300,TRADE,UP,ACCUM,5,2,0.4500,0.9000,2,0.4500,0,0.0000,0,0.0000,0.0000,1.00,-0.9000,1.1000,0.0000,182.27,SUCCESS
2026-01-03T12:45:19.442104+00:00,btc-updown-15m-1767444300,TRADE,DOWN,ACCUM,5,5,0.4800,2.4000,2,0.4500,5,0.4800,2,0.9300,0.1400,0.60,-1.3000,1.7000,0.0000,179.87,SUCCESS
2026-01-03T12:45:24.930985+00:00,btc-updown-15m-1767444300,TRADE,DOWN,ACCUM,5,1,0.3900,0.3900,2,0.4500,6,0.4650,2,0.9150,0.1700,0.67,-1.6900,2.3100,0.0000,179.48,SUCCESS
2026-01-03T12:45:30.421480+00:00,btc-updown-15m-1767444300,TRADE,UP,ACCUM,5,5,0.4900,2.4500,7,0.4786,6,0.4650,6,0.9436,0.3386,0.14,-0.1400,0.8600,0.0000,177.03,SUCCESS
2026-01-03T12:45:35.906107+00:00,btc-updown-15m-1767444300,TRADE,UP,ACCUM,5,5,0.4900,2.4500,12,0.4833,6,0.4650,6,0.9483,0.3100,0.50,-2.5900,3.4100,0.0000,174.58,SUCCESS
2026-01-03T12:46:14.859845+00:00,btc-updown-15m-1767444300,TRADE,DOWN,ACCUM,6,6,0.6000,3.6000,12,0.4833,12,0.5325,12,1.0158,-0.1900,0.00,-0.1900,-0.1900,0.0000,170.98,SUCCESS
2026-01-03T13:00:03.389158+00:00,btc-updown-15m-1767444300,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,24,24,1.0000,12.1900,12,0.4833,12,0.5325,12,1.0158,-0.1900,0.00,0.0000,0.0000,-0.1900,182.98,RESOLVED
2026-01-03T13:00:13.171072+00:00,btc-updown-15m-1767445200,TRADE,UP,ACCUM,5,5,0.3100,1.5500,5,0.3100,0,0.0000,0,0.0000,0.0000,1.00,-1.5500,3.4500,0.0000,181.43,SUCCESS
2026-01-03T13:00:51.881464+00:00,btc-updown-15m-1767445200,TRADE,DOWN,ACCUM,5,5,0.7000,3.5000,5,0.3100,5,0.7000,5,1.0100,-0.0500,0.00,-0.0500,-0.0500,0.0000,177.93,SUCCESS
2026-01-03T13:01:02.896580+00:00,btc-updown-15m-1767445200,TRADE,DOWN,ACCUM,5,5,0.6800,3.4000,5,0.3100,10,0.6900,5,1.0000,0.0000,0.50,-3.4500,1.5500,0.0000,174.53,SUCCESS
