timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-20T08:19:03.963649+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,2,2,0.5202,1.0404,2,0.5202,0,0.0000,0,0.0000,0.0000,1.00,-1.0404,0.9596,0.0000,998.96,SUCCESS
2025-12-20T08:19:03.963932+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4900,0.9801,2,0.5202,2,0.4900,2,1.0102,-0.0205,0.00,-0.0205,-0.0205,0.0000,997.98,SUCCESS
2025-12-20T08:19:20.345563+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4101,0.8202,2,0.5202,4,0.4501,2,0.9703,0.0594,0.50,-0.8407,1.1593,0.0000,997.16,SUCCESS
2025-12-20T08:19:25.813424+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,2,2,0.5601,1.1201,4,0.5401,4,0.4501,4,0.9902,0.0392,0.00,0.0392,0.0392,0.0000,996.04,SUCCESS
2025-12-20T08:19:25.813771+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4498,0.8996,4,0.5401,6,0.4500,4,0.9901,0.0396,0.33,-0.8604,1.1396,0.0000,995.14,SUCCESS
2025-12-20T08:19:31.485598+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4202,0.8404,4,0.5401,8,0.4425,4,0.9827,0.0693,0.50,-1.7008,2.2992,0.0000,994.30,SUCCESS
2025-12-20T08:19:36.933621+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4101,0.8203,4,0.5401,10,0.4361,4,0.9762,0.0952,0.60,-2.5211,3.4789,0.0000,993.48,SUCCESS
2025-12-20T08:19:42.383091+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,2,2,0.5802,1.1603,6,0.5535,10,0.4361,6,0.9895,0.0628,0.40,-1.6814,2.3186,0.0000,992.32,SUCCESS
2025-12-20T08:19:42.383896+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4301,0.8601,6,0.5535,12,0.4351,6,0.9885,0.0688,0.50,-2.5415,3.4585,0.0000,991.46,SUCCESS
2025-12-20T08:19:47.882301+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4101,0.8202,6,0.5535,14,0.4315,6,0.9850,0.0902,0.57,-3.3617,4.6383,0.0000,990.64,SUCCESS
2025-12-20T08:19:53.356247+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,2,2,0.5903,1.1806,8,0.5627,14,0.4315,8,0.9942,0.0467,0.43,-2.5423,3.4577,0.0000,989.46,SUCCESS
2025-12-20T08:19:53.356561+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4201,0.8401,8,0.5627,16,0.4301,8,0.9927,0.0581,0.50,-3.3824,4.6176,0.0000,988.62,SUCCESS
2025-12-20T08:19:58.932872+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4300,0.8600,8,0.5627,18,0.4301,8,0.9927,0.0581,0.56,-4.2424,5.7576,0.0000,987.76,SUCCESS
2025-12-20T08:20:09.828515+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4200,0.8401,8,0.5627,20,0.4291,8,0.9917,0.0662,0.60,-5.0825,6.9175,0.0000,986.92,SUCCESS
2025-12-20T08:20:15.286692+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,2,2,0.5701,1.1401,10,0.5642,20,0.4291,10,0.9932,0.0679,0.50,-4.2226,5.7774,0.0000,985.78,SUCCESS
2025-12-20T08:20:15.287061+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4401,0.8802,10,0.5642,22,0.4301,10,0.9942,0.0579,0.55,-5.1028,6.8972,0.0000,984.90,SUCCESS
2025-12-20T08:20:20.876660+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.4301,0.8602,10,0.5642,24,0.4301,10,0.9942,0.0578,0.58,-5.9630,8.0370,0.0000,984.04,SUCCESS
2025-12-20T08:20:31.960751+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.3602,0.7203,10,0.5642,26,0.4247,10,0.9888,0.1116,0.62,-6.6834,9.3166,0.0000,983.32,SUCCESS
2025-12-20T08:20:42.979680+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.1800,0.3600,10,0.5642,28,0.4072,10,0.9714,0.2864,0.64,-7.0434,10.9566,0.0000,982.96,SUCCESS
2025-12-20T08:20:48.438297+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.2400,0.4800,10,0.5642,30,0.3961,10,0.9602,0.3978,0.67,-7.5234,12.4766,0.0000,982.48,SUCCESS
2025-12-20T08:20:53.895568+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,2,2,0.7501,1.5001,12,0.5951,30,0.3961,12,0.9912,0.1056,0.60,-7.0236,10.9764,0.0000,980.98,SUCCESS
2025-12-20T08:20:53.896607+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.2601,0.5201,12,0.5951,32,0.3876,12,0.9827,0.2076,0.62,-7.5437,12.4563,0.0000,980.46,SUCCESS
2025-12-20T08:20:59.365742+00:00,btc-updown-15m-1766218500,TRADE,DOWN,ACCUM,2,2,0.2401,0.4801,12,0.5951,34,0.3789,12,0.9740,0.3117,0.65,-8.0238,13.9762,0.0000,979.98,SUCCESS
2025-12-20T08:21:04.810945+00:00,btc-updown-15m-1766218500,TRADE,UP,ACCUM,4,4,0.8400,3.3601,16,0.6564,34,0.3789,16,1.0352,-0.5640,0.53,-7.3839,10.6161,0.0000,976.62,SUCCESS
2025-12-20T08:30:03.122618+00:00,btc-updown-15m-1766218500,RESOLUTION,DOWN,MARKET_END,50,50,1.0000,23.3839,16,0.6564,34,0.3789,16,1.0352,-0.5640,0.53,0.0000,0.0000,3.7961,1010.62,RESOLVED
2025-12-20T08:30:16.006448+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4101,0.8202,2,0.4101,0,0.0000,0,0.0000,0.0000,1.00,-0.8202,1.1798,0.0000,1009.80,SUCCESS
2025-12-20T08:30:16.007043+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.6002,1.2004,2,0.4101,2,0.6002,2,1.0103,-0.0205,0.00,-0.0205,-0.0205,0.0000,1008.60,SUCCESS
2025-12-20T08:30:43.893914+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5302,1.0603,2,0.4101,4,0.5652,2,0.9753,0.0495,0.50,-1.0809,0.9191,0.0000,1007.54,SUCCESS
2025-12-20T08:30:49.585256+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5400,1.0800,2,0.4101,6,0.5568,2,0.9669,0.0663,0.67,-2.1609,1.8391,0.0000,1006.46,SUCCESS
2025-12-20T08:30:55.038869+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4602,0.9204,4,0.4351,6,0.5568,4,0.9919,0.0323,0.33,-1.0813,0.9187,0.0000,1005.53,SUCCESS
2025-12-20T08:30:55.039237+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5501,1.1001,4,0.4351,8,0.5551,4,0.9902,0.0390,0.50,-2.1814,1.8186,0.0000,1004.43,SUCCESS
2025-12-20T08:31:00.515698+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.5400,0.5400,4,0.4351,9,0.5534,4,0.9886,0.0457,0.56,-2.7214,2.2786,0.0000,1003.89,SUCCESS
2025-12-20T08:31:06.008336+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5502,1.1004,4,0.4351,11,0.5528,4,0.9880,0.0481,0.64,-3.8217,3.1783,0.0000,1002.79,SUCCESS
2025-12-20T08:31:11.613549+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.5402,0.5402,4,0.4351,12,0.5518,4,0.9869,0.0523,0.67,-4.3619,3.6381,0.0000,1002.25,SUCCESS
2025-12-20T08:31:17.078652+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4501,0.9001,6,0.4401,12,0.5518,6,0.9919,0.0487,0.50,-3.2621,2.7379,0.0000,1001.35,SUCCESS
2025-12-20T08:31:17.078796+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5601,1.1201,6,0.4401,14,0.5530,6,0.9931,0.0416,0.57,-4.3822,3.6178,0.0000,1000.23,SUCCESS
2025-12-20T08:31:22.654476+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4401,0.8802,8,0.4401,14,0.5530,8,0.9931,0.0554,0.43,-3.2624,2.7376,0.0000,999.35,SUCCESS
2025-12-20T08:31:28.132107+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4401,0.8802,10,0.4401,14,0.5530,10,0.9931,0.0693,0.29,-2.1426,1.8574,0.0000,998.47,SUCCESS
2025-12-20T08:31:33.626095+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4402,0.8803,12,0.4401,14,0.5530,12,0.9931,0.0830,0.14,-1.0229,0.9771,0.0000,997.59,SUCCESS
2025-12-20T08:31:39.074553+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,1,0.4401,0.4401,13,0.4401,14,0.5530,13,0.9931,0.0899,0.07,-0.4630,0.5370,0.0000,997.15,SUCCESS
2025-12-20T08:31:44.589911+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4200,0.8400,15,0.4374,14,0.5530,14,0.9904,0.1343,0.07,-0.3031,0.6969,0.0000,996.31,SUCCESS
2025-12-20T08:31:50.050528+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4101,0.8203,17,0.4342,14,0.5530,14,0.9872,0.1793,0.18,-1.1234,1.8766,0.0000,995.49,SUCCESS
2025-12-20T08:32:01.000046+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.3800,0.7600,19,0.4285,14,0.5530,14,0.9815,0.2592,0.26,-1.8834,3.1166,0.0000,994.73,SUCCESS
2025-12-20T08:32:06.553887+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.6402,1.2803,19,0.4285,16,0.5639,16,0.9924,0.1219,0.16,-1.1637,1.8363,0.0000,993.45,SUCCESS
2025-12-20T08:32:17.510696+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4000,0.8001,21,0.4258,16,0.5639,16,0.9897,0.1653,0.24,-1.9638,3.0362,0.0000,992.65,SUCCESS
2025-12-20T08:32:22.990473+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4701,0.9402,23,0.4297,16,0.5639,16,0.9935,0.1036,0.30,-2.9040,4.0960,0.0000,991.71,SUCCESS
2025-12-20T08:32:22.991318+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5402,1.0805,23,0.4297,18,0.5612,18,0.9909,0.1639,0.22,-1.9844,3.0156,0.0000,990.63,SUCCESS
2025-12-20T08:32:28.456470+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4702,0.9404,25,0.4329,18,0.5612,18,0.9941,0.1055,0.28,-2.9248,4.0752,0.0000,989.69,SUCCESS
2025-12-20T08:32:28.457703+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.5301,0.5301,25,0.4329,19,0.5596,19,0.9925,0.1425,0.24,-2.4549,3.5451,0.0000,989.16,SUCCESS
2025-12-20T08:32:33.917277+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5301,1.0603,25,0.4329,21,0.5568,21,0.9897,0.2164,0.16,-1.5152,2.4848,0.0000,988.10,SUCCESS
2025-12-20T08:32:39.629168+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4702,0.9403,27,0.4357,21,0.5568,21,0.9925,0.1584,0.22,-2.4556,3.5444,0.0000,987.16,SUCCESS
2025-12-20T08:32:39.629535+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5401,1.0803,27,0.4357,23,0.5553,23,0.9910,0.2068,0.15,-1.5358,2.4642,0.0000,986.08,SUCCESS
2025-12-20T08:32:45.117286+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,1,0.4702,0.4702,28,0.4369,23,0.5553,23,0.9922,0.1785,0.18,-2.0060,2.9940,0.0000,985.61,SUCCESS
2025-12-20T08:32:45.117720+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5401,1.0802,28,0.4369,25,0.5541,25,0.9910,0.2245,0.11,-1.0862,1.9138,0.0000,984.53,SUCCESS
2025-12-20T08:32:50.595423+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4700,0.9401,30,0.4391,25,0.5541,25,0.9932,0.1693,0.17,-2.0262,2.9738,0.0000,983.59,SUCCESS
2025-12-20T08:32:50.596331+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5501,1.1001,30,0.4391,27,0.5538,27,0.9929,0.1909,0.10,-1.1264,1.8736,0.0000,982.49,SUCCESS
2025-12-20T08:32:56.103001+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4701,0.9401,32,0.4410,27,0.5538,27,0.9949,0.1387,0.16,-2.0665,2.9335,0.0000,981.55,SUCCESS
2025-12-20T08:32:56.103260+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5501,1.1002,32,0.4410,29,0.5536,29,0.9946,0.1564,0.09,-1.1667,1.8333,0.0000,980.45,SUCCESS
2025-12-20T08:33:01.579420+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5500,1.1001,32,0.4410,31,0.5533,31,0.9944,0.1743,0.03,-0.2668,0.7332,0.0000,979.35,SUCCESS
2025-12-20T08:33:07.052611+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.5100,0.5100,32,0.4410,32,0.5520,32,0.9930,0.2232,0.00,0.2232,0.2232,0.0000,978.84,SUCCESS
2025-12-20T08:33:12.540614+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.5301,0.5301,32,0.4410,33,0.5513,32,0.9924,0.2444,0.03,-0.3069,0.6931,0.0000,978.31,SUCCESS
2025-12-20T08:33:17.994101+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5501,1.1001,32,0.4410,35,0.5513,32,0.9923,0.2467,0.09,-1.4071,1.5929,0.0000,977.21,SUCCESS
2025-12-20T08:33:29.020885+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.3902,0.7803,34,0.4380,35,0.5513,34,0.9893,0.3639,0.03,-0.1874,0.8126,0.0000,976.43,SUCCESS
2025-12-20T08:33:34.489757+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.3901,0.7802,36,0.4354,35,0.5513,35,0.9866,0.4679,0.03,0.0325,1.0325,0.0000,975.65,SUCCESS
2025-12-20T08:33:34.490009+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.6300,0.6300,36,0.4354,36,0.5534,36,0.9888,0.4024,0.00,0.4024,0.4024,0.0000,975.02,SUCCESS
2025-12-20T08:33:39.967040+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4101,0.8201,38,0.4340,36,0.5534,36,0.9875,0.4504,0.05,-0.4177,1.5823,0.0000,974.20,SUCCESS
2025-12-20T08:33:39.967964+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,1,0.6001,0.6001,38,0.4340,37,0.5547,37,0.9887,0.4163,0.03,-0.0177,0.9823,0.0000,973.60,SUCCESS
2025-12-20T08:33:45.429532+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4101,0.8202,40,0.4329,37,0.5547,37,0.9876,0.4606,0.07,-0.8380,2.1620,0.0000,972.78,SUCCESS
2025-12-20T08:33:45.430332+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.6003,1.2006,40,0.4329,39,0.5570,39,0.9899,0.3943,0.03,-0.0385,0.9615,0.0000,971.58,SUCCESS
2025-12-20T08:33:50.891154+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,1,0.3802,0.3802,41,0.4316,39,0.5570,39,0.9886,0.4444,0.05,-0.4187,1.5813,0.0000,971.20,SUCCESS
2025-12-20T08:33:50.892450+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.6400,1.2800,41,0.4316,41,0.5611,41,0.9927,0.3013,0.00,0.3013,0.3013,0.0000,969.92,SUCCESS
2025-12-20T08:33:56.356627+00:00,btc-updown-15m-1766219400,TRADE,UP,ACCUM,2,2,0.4100,0.8201,43,0.4306,41,0.5611,41,0.9917,0.3423,0.05,-0.5188,1.4812,0.0000,969.10,SUCCESS
2025-12-20T08:33:56.357983+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.6000,1.2001,43,0.4306,43,0.5629,43,0.9935,0.2811,0.00,0.2811,0.2811,0.0000,967.90,SUCCESS
2025-12-20T08:34:07.326913+00:00,btc-updown-15m-1766219400,TRADE,DOWN,ACCUM,2,2,0.5502,1.1003,43,0.4306,45,0.5623,43,0.9929,0.3055,0.04,-0.8192,1.1808,0.0000,966.80,SUCCESS
