timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-22T13:00:10.128490+00:00,btc-updown-15m-1766408400,TRADE,UP,ACCUM,2,2,0.5100,1.0201,2,0.5100,0,0.0000,0,0.0000,0.0000,1.00,-1.0201,0.9799,0.0000,98.98,SUCCESS
2025-12-22T13:00:10.128841+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.5001,1.0001,2,0.5100,2,0.5001,2,1.0101,-0.0202,0.00,-0.0202,-0.0202,0.0000,97.98,SUCCESS
2025-12-22T13:00:54.097405+00:00,btc-updown-15m-1766408400,TRADE,UP,ACCUM,2,1,0.4698,0.4698,3,0.4966,2,0.5001,2,0.9967,0.0066,0.33,-0.4900,0.5100,0.0000,97.51,SUCCESS
2025-12-22T13:00:59.535577+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.4902,0.9803,3,0.4966,4,0.4951,3,0.9917,0.0248,0.25,-0.4704,0.5296,0.0000,96.53,SUCCESS
2025-12-22T13:01:05.022952+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,1,0.4701,0.4701,3,0.4966,5,0.4901,3,0.9867,0.0398,0.40,-0.9404,1.0596,0.0000,96.06,SUCCESS
2025-12-22T13:01:10.433553+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.4901,0.9803,3,0.4966,7,0.4901,3,0.9867,0.0398,0.57,-1.9207,2.0793,0.0000,95.08,SUCCESS
2025-12-22T13:01:15.850113+00:00,btc-updown-15m-1766408400,TRADE,UP,ACCUM,2,2,0.5102,1.0204,5,0.5021,7,0.4901,5,0.9922,0.0391,0.29,-0.9411,1.0589,0.0000,94.06,SUCCESS
2025-12-22T13:01:21.308819+00:00,btc-updown-15m-1766408400,TRADE,UP,ACCUM,2,2,0.5101,1.0203,7,0.5044,7,0.4901,7,0.9945,0.0386,0.00,0.0386,0.0386,0.0000,93.04,SUCCESS
2025-12-22T13:01:21.309749+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.5000,1.0001,7,0.5044,9,0.4923,7,0.9967,0.0231,0.22,-0.9615,1.0385,0.0000,92.04,SUCCESS
2025-12-22T13:01:37.587497+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.4601,0.9202,7,0.5044,11,0.4865,7,0.9908,0.0642,0.36,-1.8817,2.1183,0.0000,91.12,SUCCESS
2025-12-22T13:01:43.010925+00:00,btc-updown-15m-1766408400,TRADE,UP,ACCUM,2,2,0.5001,1.0001,9,0.5034,11,0.4865,9,0.9899,0.0911,0.18,-0.8818,1.1182,0.0000,90.12,SUCCESS
2025-12-22T13:01:48.461306+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.4702,0.9404,9,0.5034,13,0.4840,9,0.9874,0.1136,0.31,-1.8222,2.1778,0.0000,89.18,SUCCESS
2025-12-22T13:01:59.316386+00:00,btc-updown-15m-1766408400,TRADE,UP,ACCUM,2,2,0.5402,1.0803,11,0.5101,13,0.4840,11,0.9941,0.0654,0.15,-0.9026,1.0974,0.0000,88.10,SUCCESS
2025-12-22T13:02:04.760802+00:00,btc-updown-15m-1766408400,TRADE,DOWN,ACCUM,2,2,0.4501,0.9002,11,0.5101,15,0.4794,11,0.9895,0.1150,0.27,-1.8028,2.1972,0.0000,87.20,SUCCESS
