timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-25T09:45:12.634656+00:00,btc-updown-15m-1766655900,TRADE,UP,ACCUM,5,5,0.5450,2.7250,5,0.5450,0,0.0000,0,0.0000,0.0000,1.00,-2.7250,2.2750,0.0000,98.99,SUCCESS
2025-12-25T09:45:16.066595+00:00,btc-updown-15m-1766655900,TRADE,DOWN,ACCUM,5,5,0.4550,2.2750,5,0.5450,5,0.4550,5,1.0000,0.0000,0.00,0.0000,0.0000,0.0000,96.29,SUCCESS
2025-12-25T09:45:18.815163+00:00,btc-updown-15m-1766655900,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,10,10,1.0000,5.0000,5,0.5450,5,0.4550,5,1.0000,0.0000,0.00,0.0000,0.0000,0.0000,96.29,RESOLVED
2025-12-25T09:55:49.064527+00:00,btc-updown-15m-1766656800,TRADE,UP,ACCUM,5,5,0.4950,2.4750,5,0.4950,0,0.0000,0,0.0000,0.0000,1.00,-2.4750,2.5250,0.0000,92.89,SUCCESS
2025-12-25T09:56:26.908233+00:00,btc-updown-15m-1766656800,TRADE,UP,ACCUM,5,5,0.4950,2.4750,10,0.4950,0,0.0000,0,0.0000,0.0000,1.00,-4.9500,5.0500,0.0000,90.39,SUCCESS
2025-12-25T10:20:49.584623+00:00,btc-updown-15m-1766657700,TRADE,DOWN,ACCUM,5,5,0.2150,1.0750,0,0.0000,5,0.2150,0,0.0000,0.0000,1.00,-1.0750,3.9250,0.0000,87.19,SUCCESS
2025-12-25T10:20:49.843044+00:00,btc-updown-15m-1766657700,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,5,5,1.0000,1.0750,0,0.0000,5,0.2150,0,0.0000,0.0000,1.00,0.0000,0.0000,-1.0750,87.19,RESOLVED
2025-12-25T10:26:08.490709+00:00,btc-updown-15m-1766658600,TRADE,DOWN,ACCUM,5,5,0.4950,2.4750,0,0.0000,5,0.4950,0,0.0000,0.0000,1.00,-2.4750,2.5250,0.0000,86.89,SUCCESS
2025-12-25T10:26:46.449001+00:00,btc-updown-15m-1766658600,TRADE,DOWN,ACCUM,5,5,0.4950,2.4750,0,0.0000,10,0.4950,0,0.0000,0.0000,1.00,-4.9500,5.0500,0.0000,84.39,SUCCESS
2025-12-25T10:28:07.264526+00:00,btc-updown-15m-1766658600,TRADE,UP,ACCUM,5,5,0.5150,2.5750,5,0.5150,10,0.4950,5,1.0100,-0.0500,0.50,-2.5250,2.4750,0.0000,81.89,SUCCESS
2025-12-25T10:28:21.426647+00:00,btc-updown-15m-1766658600,TRADE,UP,ACCUM,5,5,0.5100,2.5500,10,0.5125,10,0.4950,10,1.0075,-0.0750,0.00,-0.0750,-0.0750,0.0000,79.29,SUCCESS
2025-12-25T10:30:04.265818+00:00,btc-updown-15m-1766658600,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,20,20,1.0000,10.0750,10,0.5125,10,0.4950,10,1.0075,-0.0750,0.00,0.0000,0.0000,-0.0750,79.29,RESOLVED
2025-12-25T13:55:09.834822+00:00,btc-updown-15m-1766670300,TRADE,UP,ACCUM,5,5,0.7700,3.8500,5,0.7700,0,0.0000,0,0.0000,0.0000,1.00,-3.8500,1.1500,0.0000,96.15,SUCCESS
2025-12-25T13:55:09.835268+00:00,btc-updown-15m-1766670300,TRADE,DOWN,ACCUM,5,5,0.2250,1.1250,5,0.7700,5,0.2250,5,0.9950,0.0250,0.00,0.0250,0.0250,0.0000,95.03,SUCCESS
2025-12-25T13:55:10.264943+00:00,btc-updown-15m-1766670300,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,10,10,1.0000,4.9750,5,0.7700,5,0.2250,5,0.9950,0.0250,0.00,0.0000,0.0000,0.0250,100.03,RESOLVED
2025-12-25T13:55:18.594735+00:00,btc-updown-15m-1766671200,TRADE,UP,ACCUM,5,5,0.4650,2.3250,5,0.4650,0,0.0000,0,0.0000,0.0000,1.00,-2.3250,2.6750,0.0000,97.70,SUCCESS
2025-12-25T13:55:18.594953+00:00,btc-updown-15m-1766671200,TRADE,DOWN,ACCUM,5,5,0.5350,2.6750,5,0.4650,5,0.5350,5,1.0000,0.0000,0.00,0.0000,0.0000,0.0000,95.03,SUCCESS
2025-12-25T13:55:24.059937+00:00,btc-updown-15m-1766671200,TRADE,UP,ACCUM,5,5,0.4650,2.3250,10,0.4650,5,0.5350,5,1.0000,0.0000,0.50,-2.3250,2.6750,0.0000,92.70,SUCCESS
2025-12-25T13:55:24.060111+00:00,btc-updown-15m-1766671200,TRADE,DOWN,ACCUM,5,5,0.5350,2.6750,10,0.4650,10,0.5350,10,1.0000,0.0000,0.00,0.0000,0.0000,0.0000,90.03,SUCCESS
