MARKET: Bitcoin Up or Down - January 7, 9:00PM-9:15PM ET
RESOLUTION: YES
TRADES: 35
TIME RANGE: 2026-01-08 07:42:39 to 2026-01-08 07:44:47
PRICE RANGE: 5.00 - 89.00

--- Position at resolution ---
Remaining YES shares: 681.49
Remaining NO shares:  352.17
Final value: $ 681.49
Total spent (net exposure): $ 445.13
FINAL PNL: $ 236.36

--- Buy/Sell totals ---
YES buys:  771.46 sh / $ 398.22
YES sells: 89.97 sh / $ 34.76
NO buys:   378.17 sh / $ 104.55
NO sells:  26.00 sh / $ 22.88

--- Cumulative buys ---
YES cumulative: 771.46 sh / $ 398.22
NO cumulative:  378.17 sh / $ 104.55

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 363.46 at trade #35
NO dollar peak:  $ 81.67 at trade #29
YES share peak:  681.49 sh at trade #35
NO share peak:   352.17 sh at trade #29

--- Final exposure ---
YES exposure: $ 363.46 | 681.49 sh
NO exposure:  $ 81.67 | 352.17 sh
NET exposure: $ 445.13 | 1033.66 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2026-01-08 07:42:39 | Buy  | Up   |     5.00 |      25.99 | $      1.30
  2 | 2026-01-08 07:43:07 | Buy  | Up   |    13.00 |      25.92 | $      3.37
  3 | 2026-01-08 07:43:23 | Buy  | Down |    89.00 |      25.94 | $     23.08
  4 | 2026-01-08 07:43:43 | Buy  | Up   |     6.00 |      25.98 | $      1.56
  5 | 2026-01-08 07:43:49 | Buy  | Up   |    15.31 |      91.55 | $     14.02
  6 | 2026-01-08 07:43:51 | Buy  | Down |    84.00 |      25.88 | $     21.74
  7 | 2026-01-08 07:43:51 | Buy  | Up   |    14.00 |      25.91 | $      3.63
  8 | 2026-01-08 07:44:07 | Sell | Down |    88.00 |      26.00 | $     22.88
  9 | 2026-01-08 07:44:11 | Sell | Up   |    10.00 |      17.97 | $      1.80
 10 | 2026-01-08 07:44:11 | Buy  | Up   |    10.00 |      25.95 | $      2.59
 11 | 2026-01-08 07:44:21 | Sell | Up   |    46.56 |      36.00 | $     16.76
 12 | 2026-01-08 07:44:21 | Sell | Up   |    45.00 |      36.00 | $     16.20
 13 | 2026-01-08 07:44:21 | Buy  | Up   |    78.00 |      36.19 | $     28.23
 14 | 2026-01-08 07:44:23 | Buy  | Up   |    79.00 |      58.04 | $     45.85
 15 | 2026-01-08 07:44:23 | Buy  | Down |    19.83 |      26.06 | $      5.17
 16 | 2026-01-08 07:44:25 | Buy  | Down |    20.00 |      65.13 | $     13.03
 17 | 2026-01-08 07:44:25 | Buy  | Down |    20.00 |      25.83 | $      5.17
 18 | 2026-01-08 07:44:25 | Buy  | Down |    18.00 |      28.73 | $      5.17
 19 | 2026-01-08 07:44:25 | Buy  | Down |    19.94 |      37.66 | $      7.51
 20 | 2026-01-08 07:44:27 | Buy  | Down |    18.00 |      25.86 | $      4.65
 21 | 2026-01-08 07:44:33 | Buy  | Up   |    78.00 |      36.65 | $     28.59
 22 | 2026-01-08 07:44:33 | Buy  | Up   |    78.00 |      26.80 | $     20.91
 23 | 2026-01-08 07:44:33 | Buy  | Up   |    80.28 |      26.07 | $     20.93
 24 | 2026-01-08 07:44:33 | Buy  | Up   |    78.00 |      46.83 | $     36.53
 25 | 2026-01-08 07:44:35 | Buy  | Up   |    66.00 |      26.06 | $     17.20
 26 | 2026-01-08 07:44:39 | Buy  | Down |    16.00 |      38.08 | $      6.09
 27 | 2026-01-08 07:44:39 | Buy  | Down |    19.00 |      27.21 | $      5.17
 28 | 2026-01-08 07:44:41 | Buy  | Down |    15.00 |      25.89 | $      3.88
 29 | 2026-01-08 07:44:43 | Buy  | Down |    15.00 |      25.89 | $      3.88
 30 | 2026-01-08 07:44:45 | Buy  | Up   |    50.00 |      51.62 | $     25.81
 31 | 2026-01-08 07:44:45 | Buy  | Up   |    73.00 |      27.16 | $     19.83
 32 | 2026-01-08 07:44:45 | Buy  | Up   |    72.00 |      59.56 | $     42.88
 33 | 2026-01-08 07:44:47 | Buy  | Up   |    53.96 |      93.50 | $     50.45
 34 | 2026-01-08 07:44:47 | Buy  | Up   |    56.00 |      36.09 | $     20.21
 35 | 2026-01-08 07:44:47 | Buy  | Up   |    56.00 |      25.61 | $     14.34
