MARKET: Bitcoin Up or Down - January 7, 10:00PM-10:15PM ET
RESOLUTION: YES
TRADES: 30
TIME RANGE: 2026-01-08 08:30:31 to 2026-01-08 08:40:19
PRICE RANGE: 12.00 - 98.00

--- Position at resolution ---
Remaining YES shares: 289.81
Remaining NO shares:  256.31
Final value: $ 289.81
Total spent (net exposure): $ 298.76
FINAL PNL: $ -8.95

--- Buy/Sell totals ---
YES buys:  289.81 sh / $ 210.76
YES sells: 0.00 sh / $ 0.00
NO buys:   256.31 sh / $ 88.00
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 289.81 sh / $ 210.76
NO cumulative:  256.31 sh / $ 88.00

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 210.76 at trade #30
NO dollar peak:  $ 88.00 at trade #24
YES share peak:  289.81 sh at trade #30
NO share peak:   256.31 sh at trade #24

--- Final exposure ---
YES exposure: $ 210.76 | 289.81 sh
NO exposure:  $ 88.00 | 256.31 sh
NET exposure: $ 298.76 | 546.12 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2026-01-08 08:30:31 | Buy  | Down |    54.00 |      19.69 | $     10.63
  2 | 2026-01-08 08:30:41 | Buy  | Down |    57.00 |      19.70 | $     11.23
  3 | 2026-01-08 08:30:59 | Buy  | Down |    62.00 |      19.72 | $     12.23
  4 | 2026-01-08 08:31:03 | Buy  | Up   |    39.00 |      19.72 | $      7.69
  5 | 2026-01-08 08:32:01 | Buy  | Up   |    42.00 |      19.70 | $      8.28
  6 | 2026-01-08 08:32:05 | Buy  | Down |    55.00 |      19.69 | $     10.83
  7 | 2026-01-08 08:32:11 | Buy  | Up   |    46.00 |      19.69 | $      9.06
  8 | 2026-01-08 08:32:17 | Buy  | Up   |    58.00 |       8.00 | $      4.64
  9 | 2026-01-08 08:32:17 | Buy  | Up   |    58.00 |       7.88 | $      4.57
 10 | 2026-01-08 08:32:33 | Buy  | Down |    35.00 |      19.74 | $      6.91
 11 | 2026-01-08 08:32:35 | Buy  | Up   |    67.00 |      19.76 | $     13.24
 12 | 2026-01-08 08:32:39 | Buy  | Up   |    67.00 |      19.76 | $     13.24
 13 | 2026-01-08 08:32:51 | Buy  | Down |    27.00 |      19.81 | $      5.35
 14 | 2026-01-08 08:32:59 | Buy  | Up   |    60.00 |       8.12 | $      4.87
 15 | 2026-01-08 08:33:05 | Buy  | Up   |    69.00 |      19.77 | $     13.64
 16 | 2026-01-08 08:33:05 | Buy  | Down |    31.00 |      19.77 | $      6.13
 17 | 2026-01-08 08:33:15 | Buy  | Down |    28.00 |      19.80 | $      5.54
 18 | 2026-01-08 08:33:23 | Buy  | Up   |    75.00 |      19.82 | $     14.87
 19 | 2026-01-08 08:33:33 | Buy  | Down |    22.00 |      19.85 | $      4.37
 20 | 2026-01-08 08:34:01 | Buy  | Down |    25.00 |      19.82 | $      4.96
 21 | 2026-01-08 08:34:01 | Buy  | Down |    25.00 |      19.82 | $      4.96
 22 | 2026-01-08 08:35:15 | Buy  | Up   |    88.00 |      19.94 | $     17.55
 23 | 2026-01-08 08:37:05 | Buy  | Down |    13.00 |      19.94 | $      2.59
 24 | 2026-01-08 08:38:09 | Buy  | Down |    12.00 |      18.95 | $      2.27
 25 | 2026-01-08 08:38:17 | Buy  | Up   |    83.00 |      18.76 | $     15.57
 26 | 2026-01-08 08:38:19 | Buy  | Up   |    83.00 |      18.91 | $     15.69
 27 | 2026-01-08 08:39:27 | Buy  | Up   |    96.00 |      17.99 | $     17.27
 28 | 2026-01-08 08:39:29 | Buy  | Up   |    96.00 |      17.99 | $     17.27
 29 | 2026-01-08 08:40:19 | Buy  | Up   |    98.00 |      17.00 | $     16.66
 30 | 2026-01-08 08:40:19 | Buy  | Up   |    98.00 |      17.00 | $     16.66
