MARKET: Bitcoin Up or Down - January 7, 9:00PM-9:15PM ET
RESOLUTION: YES
TRADES: 37
TIME RANGE: 2026-01-08 07:30:17 to 2026-01-08 07:44:33
PRICE RANGE: 15.00 - 78.00

--- Position at resolution ---
Remaining YES shares: 301.26
Remaining NO shares:  361.15
Final value: $ 301.26
Total spent (net exposure): $ 315.09
FINAL PNL: $ -13.84

--- Buy/Sell totals ---
YES buys:  301.26 sh / $ 123.88
YES sells: 0.00 sh / $ 0.00
NO buys:   361.15 sh / $ 191.21
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 301.26 sh / $ 123.88
NO cumulative:  361.15 sh / $ 191.21

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 123.88 at trade #37
NO dollar peak:  $ 191.21 at trade #35
YES share peak:  301.26 sh at trade #37
NO share peak:   361.15 sh at trade #35

--- Final exposure ---
YES exposure: $ 123.88 | 301.26 sh
NO exposure:  $ 191.21 | 361.15 sh
NET exposure: $ 315.09 | 662.41 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2026-01-08 07:30:17 | Buy  | Down |    53.00 |      19.69 | $     10.44
  2 | 2026-01-08 07:30:37 | Buy  | Up   |    42.00 |      19.70 | $      8.28
  3 | 2026-01-08 07:31:47 | Buy  | Down |    71.00 |      19.79 | $     14.05
  4 | 2026-01-08 07:31:49 | Buy  | Up   |    29.00 |      19.79 | $      5.74
  5 | 2026-01-08 07:31:53 | Buy  | Down |    44.00 |      19.70 | $      8.67
  6 | 2026-01-08 07:31:53 | Buy  | Up   |    43.00 |      19.70 | $      8.47
  7 | 2026-01-08 07:31:55 | Buy  | Down |    37.00 |      19.73 | $      7.30
  8 | 2026-01-08 07:31:59 | Buy  | Down |    41.00 |      19.71 | $      8.08
  9 | 2026-01-08 07:32:35 | Buy  | Down |    36.00 |      19.73 | $      7.10
 10 | 2026-01-08 07:33:45 | Buy  | Down |    59.00 |      19.71 | $     11.63
 11 | 2026-01-08 07:33:51 | Buy  | Down |    59.00 |      15.00 | $      8.85
 12 | 2026-01-08 07:33:51 | Buy  | Down |    59.00 |      14.78 | $      8.72
 13 | 2026-01-08 07:34:01 | Buy  | Down |    67.00 |      19.76 | $     13.24
 14 | 2026-01-08 07:34:05 | Buy  | Up   |    32.00 |      19.76 | $      6.32
 15 | 2026-01-08 07:35:27 | Buy  | Up   |    25.00 |      19.82 | $      4.96
 16 | 2026-01-08 07:35:27 | Buy  | Down |    76.00 |      19.83 | $     15.07
 17 | 2026-01-08 07:35:27 | Buy  | Up   |    25.00 |      19.82 | $      4.96
 18 | 2026-01-08 07:35:57 | Buy  | Up   |    24.00 |      19.83 | $      4.76
 19 | 2026-01-08 07:37:09 | Buy  | Up   |    41.00 |      19.71 | $      8.08
 20 | 2026-01-08 07:37:21 | Buy  | Up   |    45.00 |      18.71 | $      8.42
 21 | 2026-01-08 07:37:27 | Buy  | Up   |    41.00 |      18.72 | $      7.68
 22 | 2026-01-08 07:37:29 | Buy  | Down |    60.00 |      18.73 | $     11.24
 23 | 2026-01-08 07:37:39 | Buy  | Down |    58.00 |      18.72 | $     10.86
 24 | 2026-01-08 07:37:57 | Buy  | Down |    55.00 |      18.71 | $     10.29
 25 | 2026-01-08 07:38:25 | Buy  | Up   |    47.00 |      18.71 | $      8.79
 26 | 2026-01-08 07:38:45 | Buy  | Up   |    60.00 |      18.73 | $     11.24
 27 | 2026-01-08 07:38:49 | Buy  | Down |    43.00 |      18.71 | $      8.05
 28 | 2026-01-08 07:39:25 | Buy  | Down |    54.00 |      17.72 | $      9.57
 29 | 2026-01-08 07:39:27 | Buy  | Up   |    47.00 |      17.72 | $      8.33
 30 | 2026-01-08 07:39:33 | Buy  | Down |    54.00 |      17.72 | $      9.57
 31 | 2026-01-08 07:40:39 | Buy  | Up   |    54.00 |      16.74 | $      9.04
 32 | 2026-01-08 07:40:57 | Buy  | Down |    46.00 |      16.74 | $      7.70
 33 | 2026-01-08 07:41:19 | Buy  | Down |    54.00 |      15.75 | $      8.51
 34 | 2026-01-08 07:43:49 | Buy  | Up   |    15.00 |      11.95 | $      1.79
 35 | 2026-01-08 07:44:23 | Buy  | Down |    21.00 |      10.92 | $      2.29
 36 | 2026-01-08 07:44:33 | Buy  | Up   |    78.00 |      10.92 | $      8.52
 37 | 2026-01-08 07:44:33 | Buy  | Up   |    78.00 |      10.92 | $      8.52
