timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2026-01-05T00:00:02.180930+00:00,btc-updown-15m-1767570300,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,30,30,1.0000,14.0500,15,0.4100,15,0.5267,15,0.9367,0.9500,0.00,0.0000,0.0000,0.9500,203.49,RESOLVED
2026-01-05T00:00:30.167324+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.5400,2.7000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,203.49,SUCCESS
2026-01-05T00:00:31.146974+00:00,btc-updown-15m-1767571200,TRADE,DOWN,ACCUM,5,5,0.3900,1.9500,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,203.49,SUCCESS
2026-01-05T00:00:37.234092+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.5400,2.7000,5,0.5400,0,0.0000,0,0.0000,0.0000,1.00,-2.7000,2.3000,0.0000,200.79,SUCCESS
2026-01-05T00:01:00.397481+00:00,btc-updown-15m-1767571200,TRADE,DOWN,ACCUM,5,5,0.3900,1.9476,5,0.5400,5,0.3900,5,0.9300,0.3496,0.00,0.3462,0.3524,0.0000,200.79,SUCCESS
2026-01-05T00:01:06.152608+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.7200,3.6000,5,0.5400,5,0.3900,5,0.9300,0.3496,0.00,0.3462,0.3524,0.0000,200.79,SUCCESS
2026-01-05T00:01:06.366246+00:00,btc-updown-15m-1767571200,TRADE,DOWN,ACCUM,5,5,0.2100,1.0500,5,0.5400,5,0.3900,5,0.9300,0.3496,0.00,0.3462,0.3524,0.0000,200.79,SUCCESS
2026-01-05T00:03:07.815519+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.7400,3.7000,5,0.5400,5,0.3900,5,0.9300,0.3496,0.00,0.3462,0.3524,0.0000,200.79,SUCCESS
2026-01-05T00:05:03.912688+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.9000,4.5000,10,0.7200,5,0.3900,5,1.1100,-0.5493,0.50,-4.1538,0.8524,0.0000,197.79,SUCCESS
2026-01-05T00:05:09.845611+00:00,btc-updown-15m-1767571200,TRADE,DOWN,ACCUM,6,5,0.2100,1.0500,10,0.7200,10,0.2999,10,1.0199,-0.1993,0.00,-0.2038,-0.1976,0.0000,193.38,SUCCESS
2026-01-05T00:05:15.559209+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.7900,3.9500,10,0.7200,10,0.2999,10,1.0199,-0.1993,0.00,-0.2038,-0.1976,0.0000,193.38,SUCCESS
2026-01-05T00:05:21.477491+00:00,btc-updown-15m-1767571200,TRADE,UP,ACCUM,5,5,0.7900,3.9500,15,0.7433,10,0.2999,10,1.0433,-0.4325,0.33,-4.1538,0.8524,0.0000,189.43,SUCCESS
2026-01-05T00:05:28.025008+00:00,btc-updown-15m-1767571200,TRADE,DOWN,ACCUM,5,5,0.2000,1.0000,15,0.7433,15,0.2666,15,1.0099,-0.1492,0.00,-0.1538,-0.1476,0.0000,189.43,SUCCESS
2026-01-05T00:15:01.864982+00:00,btc-updown-15m-1767571200,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,30,30,1.0000,15.1476,15,0.7433,15,0.2666,15,1.0099,-0.1492,0.00,0.0000,0.0000,-0.1476,189.43,RESOLVED
2026-01-05T00:15:20.727352+00:00,btc-updown-15m-1767572100,TRADE,DOWN,ACCUM,5,5,0.4700,2.3500,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,189.43,SUCCESS
2026-01-05T00:15:21.778904+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,189.43,SUCCESS
2026-01-05T00:15:27.761667+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,189.43,SUCCESS
2026-01-05T00:15:29.028131+00:00,btc-updown-15m-1767572100,TRADE,DOWN,ACCUM,5,5,0.4700,2.3500,0,0.0000,5,0.4700,0,0.0000,0.0000,1.00,-2.3500,2.6500,0.0000,188.48,SUCCESS
2026-01-05T00:15:36.615756+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,0,0.0000,5,0.4700,0,0.0000,0.0000,1.00,-2.3500,2.6500,0.0000,188.48,SUCCESS
2026-01-05T00:15:42.608570+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,0,0.0000,5,0.4700,0,0.0000,0.0000,1.00,-2.3500,2.6500,0.0000,188.48,SUCCESS
2026-01-05T00:15:48.600651+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,0,0.0000,5,0.4700,0,0.0000,0.0000,1.00,-2.3500,2.6500,0.0000,188.48,SUCCESS
2026-01-05T00:16:00.379898+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,0,0.0000,5,0.4700,0,0.0000,0.0000,1.00,-2.3500,2.6500,0.0000,188.48,SUCCESS
2026-01-05T00:16:29.252280+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4600,2.3000,5,0.4600,5,0.4700,5,0.9300,0.3500,0.00,0.3500,0.3500,0.0000,183.88,SUCCESS
2026-01-05T00:16:35.297212+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4800,2.4000,5,0.4600,5,0.4700,5,0.9300,0.3500,0.00,0.3500,0.3500,0.0000,183.88,SUCCESS
2026-01-05T00:16:35.733616+00:00,btc-updown-15m-1767572100,TRADE,DOWN,ACCUM,5,5,0.4700,2.3493,5,0.4600,10,0.4700,5,0.9300,0.3500,0.50,-1.9993,2.9992,0.0000,170.08,SUCCESS
2026-01-05T00:18:02.044732+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.4800,2.3967,10,0.4700,10,0.4700,10,0.9400,0.5997,0.00,0.5971,0.6025,0.0000,169.54,SUCCESS
2026-01-05T00:18:07.843948+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.5400,2.7000,10,0.4700,10,0.4700,10,0.9400,0.5997,0.00,0.5971,0.6025,0.0000,169.54,SUCCESS
2026-01-05T00:18:08.087154+00:00,btc-updown-15m-1767572100,TRADE,DOWN,ACCUM,5,5,0.3900,1.9500,10,0.4700,10,0.4700,10,0.9400,0.5997,0.00,0.5971,0.6025,0.0000,169.54,SUCCESS
2026-01-05T00:18:14.300892+00:00,btc-updown-15m-1767572100,TRADE,DOWN,ACCUM,5,5,0.3900,1.9500,10,0.4700,15,0.4433,10,0.9133,0.8662,0.33,-1.3529,3.6525,0.0000,167.68,SUCCESS
2026-01-05T00:18:37.506309+00:00,btc-updown-15m-1767572100,TRADE,UP,ACCUM,5,5,0.5400,2.7000,15,0.4933,15,0.4433,15,0.9367,0.9495,0.00,0.9471,0.9525,0.0000,165.73,SUCCESS
2026-01-05T00:30:00.688905+00:00,btc-updown-15m-1767572100,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,30,30,1.0000,14.0460,15,0.4933,15,0.4433,15,0.9367,0.9495,0.00,0.0000,0.0000,0.9525,165.73,RESOLVED
2026-01-05T00:30:19.096712+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5100,2.5500,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,165.73,SUCCESS
2026-01-05T00:30:20.019973+00:00,btc-updown-15m-1767573000,TRADE,UP,ACCUM,5,5,0.4300,2.1500,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,165.73,SUCCESS
2026-01-05T00:30:26.152635+00:00,btc-updown-15m-1767573000,TRADE,UP,ACCUM,5,5,0.4300,2.1500,5,0.4300,0,0.0000,0,0.0000,0.0000,1.00,-2.1500,2.8500,0.0000,160.88,SUCCESS
2026-01-05T00:32:21.410630+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5300,2.6500,5,0.4300,0,0.0000,0,0.0000,0.0000,1.00,-2.1500,2.8500,0.0000,160.88,SUCCESS
2026-01-05T00:34:23.017796+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5500,2.7500,5,0.4300,0,0.0000,0,0.0000,0.0000,1.00,-2.1500,2.8500,0.0000,160.88,SUCCESS
2026-01-05T00:34:51.988150+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5500,2.7500,5,0.4300,5,0.5500,5,0.9800,0.1000,0.00,0.1000,0.1000,0.0000,160.88,SUCCESS
2026-01-05T00:34:57.702071+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,5,0.4300,5,0.5500,5,0.9800,0.1000,0.00,0.1000,0.1000,0.0000,160.88,SUCCESS
2026-01-05T00:34:57.932266+00:00,btc-updown-15m-1767573000,TRADE,UP,ACCUM,5,5,0.4200,2.1000,5,0.4300,5,0.5500,5,0.9800,0.1000,0.00,0.1000,0.1000,0.0000,160.88,SUCCESS
2026-01-05T00:35:04.049575+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,5,0.4300,10,0.5250,5,0.9550,0.2250,0.50,-2.4000,2.6000,0.0000,158.13,SUCCESS
2026-01-05T00:35:32.894854+00:00,btc-updown-15m-1767573000,TRADE,UP,ACCUM,5,5,0.4200,2.1000,10,0.4250,10,0.5250,10,0.9500,0.5000,0.00,0.5000,0.5000,0.0000,155.63,SUCCESS
2026-01-05T00:35:38.601027+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5900,2.9500,10,0.4250,10,0.5250,10,0.9500,0.5000,0.00,0.5000,0.5000,0.0000,155.63,SUCCESS
2026-01-05T00:35:38.822201+00:00,btc-updown-15m-1767573000,TRADE,UP,ACCUM,5,5,0.3500,1.7500,10,0.4250,10,0.5250,10,0.9500,0.5000,0.00,0.5000,0.5000,0.0000,155.63,SUCCESS
2026-01-05T00:35:44.765863+00:00,btc-updown-15m-1767573000,TRADE,DOWN,ACCUM,5,5,0.5900,2.9500,10,0.4250,15,0.5467,10,0.9717,0.2833,0.33,-2.4500,2.5500,0.0000,153.53,SUCCESS
2026-01-05T00:35:50.870193+00:00,btc-updown-15m-1767573000,TRADE,UP,ACCUM,5,5,0.3500,1.7500,15,0.4000,15,0.5467,15,0.9467,0.8000,0.00,0.8000,0.8000,0.0000,150.58,SUCCESS
2026-01-05T00:45:01.418158+00:00,btc-updown-15m-1767573000,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,30,30,1.0000,14.2000,15,0.4000,15,0.5467,15,0.9467,0.8000,0.00,0.0000,0.0000,0.8000,150.58,RESOLVED
2026-01-05T00:45:20.044646+00:00,btc-updown-15m-1767573900,TRADE,UP,ACCUM,5,5,0.4800,2.4000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,150.58,SUCCESS
2026-01-05T00:45:20.936250+00:00,btc-updown-15m-1767573900,TRADE,DOWN,ACCUM,5,5,0.4400,2.2000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,150.58,SUCCESS
2026-01-05T00:45:33.344382+00:00,btc-updown-15m-1767573900,TRADE,DOWN,ACCUM,5,5,0.4400,2.2000,0,0.0000,5,0.4400,0,0.0000,0.0000,1.00,-2.2000,2.8000,0.0000,148.83,SUCCESS
2026-01-05T00:45:50.794181+00:00,btc-updown-15m-1767573900,TRADE,UP,ACCUM,5,5,0.4800,2.4000,5,0.4800,5,0.4400,5,0.9200,0.4000,0.00,0.4000,0.4000,0.0000,146.63,SUCCESS
2026-01-05T00:45:56.507190+00:00,btc-updown-15m-1767573900,TRADE,DOWN,ACCUM,5,5,0.5100,2.5500,5,0.4800,5,0.4400,5,0.9200,0.4000,0.00,0.4000,0.4000,0.0000,146.63,SUCCESS
