timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2026-01-07T00:00:01.269341+00:00,btc-updown-15m-1767743100,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,30,30,1.0000,14.1406,15,0.4636,15,0.4791,15,0.9427,0.8594,0.00,0.0000,0.0000,0.8594,190.40,RESOLVED
2026-01-07T00:00:26.664953+00:00,btc-updown-15m-1767744000,TRADE,UP,ACCUM,5,5,0.4100,2.0500,5,0.4100,0,0.0000,0,0.0000,0.0000,1.00,-2.0500,2.9500,0.0000,188.35,SUCCESS
2026-01-07T00:00:43.175849+00:00,btc-updown-15m-1767744000,TRADE,DOWN,ACCUM,5,5,0.4865,2.4325,5,0.4100,5,0.4865,5,0.8965,0.5175,0.00,0.5175,0.5175,0.0000,185.91,SUCCESS
2026-01-07T00:03:40.183648+00:00,btc-updown-15m-1767744000,TRADE,UP,ACCUM,5,5,0.4200,2.1000,10,0.4150,5,0.4865,5,0.9015,0.4925,0.50,-1.5825,3.4175,0.0000,183.81,SUCCESS
2026-01-07T00:03:51.112627+00:00,btc-updown-15m-1767744000,TRADE,DOWN,ACCUM,5,5,0.4931,2.4653,10,0.4150,10,0.4898,10,0.9048,0.9522,0.00,0.9522,0.9522,0.0000,181.35,SUCCESS
2026-01-07T00:15:05.970200+00:00,btc-updown-15m-1767744000,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,20,20,1.0000,9.0478,10,0.4150,10,0.4898,10,0.9048,0.9522,0.00,0.0000,0.0000,0.9522,191.35,RESOLVED
2026-01-07T00:15:25.161018+00:00,btc-updown-15m-1767744900,TRADE,UP,ACCUM,5,5,0.4792,2.3961,5,0.4792,0,0.0000,0,0.0000,0.0000,1.00,-2.3961,2.6039,0.0000,188.95,SUCCESS
2026-01-07T00:15:36.197769+00:00,btc-updown-15m-1767744900,TRADE,DOWN,ACCUM,5,5,0.4815,2.4074,5,0.4792,5,0.4815,5,0.9607,0.1965,0.00,0.1965,0.1965,0.0000,186.54,SUCCESS
2026-01-07T00:15:41.810149+00:00,btc-updown-15m-1767744900,TRADE,UP,ACCUM,5,5,0.4500,2.2500,10,0.4646,5,0.4815,5,0.9461,0.2695,0.50,-2.0535,2.9465,0.0000,184.29,SUCCESS
2026-01-07T00:15:52.874343+00:00,btc-updown-15m-1767744900,TRADE,DOWN,ACCUM,5,5,0.4827,2.4137,10,0.4646,10,0.4821,10,0.9467,0.5328,0.00,0.5328,0.5328,0.0000,181.88,SUCCESS
2026-01-07T00:16:03.774539+00:00,btc-updown-15m-1767744900,TRADE,UP,ACCUM,5,1,0.4700,0.4700,11,0.4651,10,0.4821,10,0.9472,0.5279,0.09,0.0628,1.0628,0.0000,181.41,SUCCESS
2026-01-07T00:30:02.829391+00:00,btc-updown-15m-1767744900,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,21,21,1.0000,9.9372,11,0.4651,10,0.4821,10,0.9472,0.5279,0.09,0.0000,0.0000,0.0628,191.41,RESOLVED
2026-01-07T00:30:33.742357+00:00,btc-updown-15m-1767745800,TRADE,DOWN,ACCUM,5,5,0.4812,2.4060,0,0.0000,5,0.4812,0,0.0000,0.0000,1.00,-2.4060,2.5940,0.0000,189.01,SUCCESS
2026-01-07T00:30:44.697573+00:00,btc-updown-15m-1767745800,TRADE,UP,ACCUM,5,5,0.4801,2.4004,5,0.4801,5,0.4812,5,0.9613,0.1936,0.00,0.1936,0.1936,0.0000,186.60,SUCCESS
2026-01-07T00:30:50.147492+00:00,btc-updown-15m-1767745800,TRADE,DOWN,ACCUM,5,3,0.4600,1.3800,5,0.4801,8,0.4733,5,0.9533,0.2333,0.38,-1.1864,1.8136,0.0000,185.22,SUCCESS
2026-01-07T00:30:55.743044+00:00,btc-updown-15m-1767745800,TRADE,DOWN,ACCUM,5,5,0.4793,2.3964,5,0.4801,13,0.4756,5,0.9557,0.2217,0.62,-3.5828,4.4172,0.0000,182.83,SUCCESS
2026-01-07T00:31:06.839150+00:00,btc-updown-15m-1767745800,TRADE,UP,ACCUM,8,8,0.4700,3.7600,13,0.4739,13,0.4756,13,0.9494,0.6572,0.00,0.6572,0.6572,0.0000,179.07,SUCCESS
2026-01-07T00:45:05.038393+00:00,btc-updown-15m-1767745800,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,26,26,1.0000,12.3428,13,0.4739,13,0.4756,13,0.9494,0.6572,0.00,0.0000,0.0000,0.6572,192.07,RESOLVED
2026-01-07T00:45:24.454612+00:00,btc-updown-15m-1767746700,TRADE,DOWN,ACCUM,5,5,0.4831,2.4153,0,0.0000,5,0.4831,0,0.0000,0.0000,1.00,-2.4153,2.5847,0.0000,189.65,SUCCESS
2026-01-07T00:46:08.569789+00:00,btc-updown-15m-1767746700,TRADE,UP,ACCUM,5,3,0.4759,1.4278,3,0.4759,5,0.4831,3,0.9590,0.1230,0.40,-0.8432,1.1568,0.0000,188.23,SUCCESS
2026-01-07T00:46:14.204461+00:00,btc-updown-15m-1767746700,TRADE,UP,ACCUM,5,5,0.4759,2.3793,8,0.4759,5,0.4831,5,0.9590,0.2052,0.38,-1.2225,1.7775,0.0000,185.85,SUCCESS
2026-01-07T00:47:20.508379+00:00,btc-updown-15m-1767746700,TRADE,DOWN,ACCUM,5,3,0.4829,1.4488,8,0.4759,8,0.4830,8,0.9589,0.3287,0.00,0.3287,0.3287,0.0000,184.40,SUCCESS
2026-01-07T01:00:01.043463+00:00,btc-updown-15m-1767746700,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,16,16,1.0000,7.6713,8,0.4759,8,0.4830,8,0.9589,0.3287,0.00,0.0000,0.0000,0.3287,192.40,RESOLVED
2026-01-07T01:00:43.279160+00:00,btc-updown-15m-1767747600,TRADE,DOWN,ACCUM,5,5,0.3600,1.8000,0,0.0000,5,0.3600,0,0.0000,0.0000,1.00,-1.8000,3.2000,0.0000,190.60,SUCCESS
2026-01-07T01:00:48.799360+00:00,btc-updown-15m-1767747600,TRADE,UP,ACCUM,5,5,0.4876,2.4382,5,0.4876,5,0.3600,5,0.8476,0.7618,0.00,0.7618,0.7618,0.0000,188.16,SUCCESS
2026-01-07T01:06:41.810772+00:00,btc-updown-15m-1767747600,TRADE,DOWN,ACCUM,5,5,0.2600,1.3000,5,0.4876,10,0.3100,5,0.7976,1.0118,0.50,-0.5382,4.4618,0.0000,186.86,SUCCESS
2026-01-07T01:06:58.313398+00:00,btc-updown-15m-1767747600,TRADE,UP,ACCUM,5,5,0.5047,2.5235,10,0.4962,10,0.3100,10,0.8062,1.9383,0.00,1.9383,1.9383,0.0000,184.34,SUCCESS
2026-01-07T01:15:03.239879+00:00,btc-updown-15m-1767747600,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,20,20,1.0000,8.0617,10,0.4962,10,0.3100,10,0.8062,1.9383,0.00,0.0000,0.0000,1.9383,194.34,RESOLVED
2026-01-07T01:16:01.846504+00:00,btc-updown-15m-1767748500,TRADE,UP,ACCUM,5,5,0.3000,1.5000,5,0.3000,0,0.0000,0,0.0000,0.0000,1.00,-1.5000,3.5000,0.0000,192.84,SUCCESS
2026-01-07T01:16:13.041946+00:00,btc-updown-15m-1767748500,TRADE,DOWN,ACCUM,5,5,0.5009,2.5047,5,0.3000,5,0.5009,5,0.8009,0.9953,0.00,0.9953,0.9953,0.0000,190.33,SUCCESS
2026-01-07T01:30:00.822546+00:00,btc-updown-15m-1767748500,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,10,10,1.0000,4.0047,5,0.3000,5,0.5009,5,0.8009,0.9953,0.00,0.0000,0.0000,0.9953,195.33,RESOLVED
2026-01-07T01:30:27.452310+00:00,btc-updown-15m-1767749400,TRADE,DOWN,ACCUM,5,5,0.3900,1.9500,0,0.0000,5,0.3900,0,0.0000,0.0000,1.00,-1.9500,3.0500,0.0000,193.38,SUCCESS
2026-01-07T01:31:00.671678+00:00,btc-updown-15m-1767749400,TRADE,UP,ACCUM,5,5,0.4857,2.4283,5,0.4857,5,0.3900,5,0.8757,0.6217,0.00,0.6217,0.6217,0.0000,190.95,SUCCESS
2026-01-07T01:31:06.152144+00:00,btc-updown-15m-1767749400,TRADE,DOWN,ACCUM,5,5,0.4816,2.4080,5,0.4857,10,0.4358,5,0.9215,0.3927,0.50,-1.7863,3.2137,0.0000,188.54,SUCCESS
2026-01-07T01:31:11.600250+00:00,btc-updown-15m-1767749400,TRADE,UP,ACCUM,5,5,0.4750,2.3749,10,0.4803,10,0.4358,10,0.9161,0.8388,0.00,0.8388,0.8388,0.0000,186.17,SUCCESS
2026-01-07T01:35:47.543246+00:00,btc-updown-15m-1767749400,TRADE,DOWN,ACCUM,5,5,0.4400,2.2000,10,0.4803,15,0.4372,10,0.9175,0.8248,0.33,-1.3612,3.6388,0.0000,183.97,SUCCESS
2026-01-07T01:35:53.078175+00:00,btc-updown-15m-1767749400,TRADE,UP,ACCUM,5,5,0.4879,2.4395,15,0.4828,15,0.4372,15,0.9200,1.1993,0.00,1.1993,1.1993,0.0000,181.53,SUCCESS
2026-01-07T01:45:00.997328+00:00,btc-updown-15m-1767749400,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,30,30,1.0000,13.8007,15,0.4828,15,0.4372,15,0.9200,1.1993,0.00,0.0000,0.0000,1.1993,196.53,RESOLVED
2026-01-07T01:45:21.275910+00:00,btc-updown-15m-1767750300,TRADE,DOWN,ACCUM,5,5,0.4000,2.0000,0,0.0000,5,0.4000,0,0.0000,0.0000,1.00,-2.0000,3.0000,0.0000,194.53,SUCCESS
2026-01-07T01:45:32.126574+00:00,btc-updown-15m-1767750300,TRADE,UP,ACCUM,5,5,0.4814,2.4070,5,0.4814,5,0.4000,5,0.8814,0.5930,0.00,0.5930,0.5930,0.0000,192.12,SUCCESS
2026-01-07T01:45:37.574527+00:00,btc-updown-15m-1767750300,TRADE,DOWN,ACCUM,5,5,0.4400,2.2000,5,0.4814,10,0.4200,5,0.9014,0.4930,0.50,-1.6070,3.3930,0.0000,189.92,SUCCESS
2026-01-07T01:45:48.689683+00:00,btc-updown-15m-1767750300,TRADE,UP,ACCUM,5,5,0.4829,2.4147,10,0.4822,10,0.4200,10,0.9022,0.9783,0.00,0.9783,0.9783,0.0000,187.51,SUCCESS
