timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-24T15:15:18.931350+00:00,btc-updown-15m-1766589300,TRADE,UP,ACCUM,2,2,0.5551,1.1102,2,0.5551,0,0.0000,0,0.0000,0.0000,1.00,-1.1102,0.8898,0.0000,98.89,SUCCESS
2025-12-24T15:15:20.171520+00:00,btc-updown-15m-1766589300,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,2,2,1.0000,1.1102,2,0.5551,0,0.0000,0,0.0000,0.0000,1.00,0.0000,0.0000,-1.1102,98.89,RESOLVED
2025-12-24T15:20:00.543658+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5002,1.0004,2,0.5002,0,0.0000,0,0.0000,0.0000,1.00,-1.0004,0.9996,0.0000,97.89,SUCCESS
2025-12-24T15:20:05.948742+00:00,btc-updown-15m-1766590200,TRADE,DOWN,ACCUM,3,3,0.4700,1.4100,2,0.5002,3,0.4700,2,0.9702,0.0596,0.33,-0.4104,0.5896,0.0000,96.48,SUCCESS
2025-12-24T15:20:11.586127+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5002,1.0004,4,0.5002,3,0.4700,3,0.9702,0.0894,0.25,-0.4108,0.5892,0.0000,95.48,SUCCESS
2025-12-24T15:20:22.769606+00:00,btc-updown-15m-1766590200,TRADE,DOWN,ACCUM,3,3,0.4700,1.4100,4,0.5002,6,0.4700,4,0.9702,0.1191,0.33,-0.8209,1.1791,0.0000,94.07,SUCCESS
2025-12-24T15:20:28.196838+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5002,1.0004,6,0.5002,6,0.4700,6,0.9702,0.1787,0.00,0.1787,0.1787,0.0000,93.07,SUCCESS
2025-12-24T15:20:33.763227+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5002,1.0005,8,0.5002,6,0.4700,6,0.9702,0.1787,0.25,-0.8218,1.1782,0.0000,92.07,SUCCESS
2025-12-24T15:20:39.216504+00:00,btc-updown-15m-1766590200,TRADE,DOWN,ACCUM,3,3,0.4700,1.4101,8,0.5002,9,0.4700,8,0.9702,0.2381,0.11,-0.2319,0.7681,0.0000,90.66,SUCCESS
2025-12-24T15:20:50.446949+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5000,1.0000,10,0.5002,9,0.4700,9,0.9702,0.2682,0.10,-0.2319,0.7681,0.0000,89.66,SUCCESS
2025-12-24T15:20:55.863610+00:00,btc-updown-15m-1766590200,TRADE,DOWN,ACCUM,3,3,0.4701,1.4102,10,0.5002,12,0.4700,10,0.9702,0.2979,0.17,-0.6422,1.3578,0.0000,88.25,SUCCESS
2025-12-24T15:21:01.340355+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5001,1.0003,12,0.5002,12,0.4700,12,0.9702,0.3576,0.00,0.3576,0.3576,0.0000,87.25,SUCCESS
2025-12-24T15:21:12.589490+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,2,0.5002,1.0003,14,0.5002,12,0.4700,12,0.9702,0.3576,0.14,-0.6427,1.3573,0.0000,86.25,SUCCESS
2025-12-24T15:21:18.204658+00:00,btc-updown-15m-1766590200,TRADE,DOWN,ACCUM,3,3,0.4702,1.4106,14,0.5002,15,0.4701,14,0.9702,0.4167,0.07,-0.0534,0.9466,0.0000,84.84,SUCCESS
2025-12-24T15:21:23.807808+00:00,btc-updown-15m-1766590200,TRADE,UP,ACCUM,2,1,0.5001,0.5001,15,0.5002,15,0.4701,15,0.9702,0.4465,0.00,0.4465,0.4465,0.0000,84.34,SUCCESS
