timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-27T16:23:10.137581+00:00,btc-updown-15m-1766852100,TRADE,DOWN,ACCUM,5,5,0.7600,3.8000,0,0.0000,5,0.7600,0,0.0000,0.0000,1.00,-3.8000,1.2000,0.0000,96.20,SUCCESS
2025-12-27T16:23:15.709907+00:00,btc-updown-15m-1766852100,TRADE,UP,ACCUM,5,5,0.2400,1.2000,5,0.2400,5,0.7600,5,1.0000,0.0000,0.00,0.0000,0.0000,0.0000,95.00,SUCCESS
2025-12-27T16:23:21.149705+00:00,btc-updown-15m-1766852100,TRADE,UP,ACCUM,5,5,0.2100,1.0500,10,0.2250,5,0.7600,5,0.9850,0.0750,0.50,-1.0500,3.9500,0.0000,93.95,SUCCESS
2025-12-27T16:23:26.538556+00:00,btc-updown-15m-1766852100,TRADE,DOWN,ACCUM,5,5,0.7600,3.8000,10,0.2250,10,0.7600,10,0.9850,0.1500,0.00,0.1500,0.1500,0.0000,90.15,SUCCESS
2025-12-27T16:23:31.941107+00:00,btc-updown-15m-1766852100,TRADE,DOWN,ACCUM,5,5,0.7300,3.6500,10,0.2250,15,0.7500,10,0.9750,0.2500,0.33,-3.5000,1.5000,0.0000,86.50,SUCCESS
2025-12-27T16:23:37.337599+00:00,btc-updown-15m-1766852100,TRADE,UP,ACCUM,5,5,0.2799,1.3997,15,0.2433,15,0.7500,15,0.9933,0.1003,0.00,0.1003,0.1003,0.0000,85.10,SUCCESS
2025-12-27T16:30:02.084329+00:00,btc-updown-15m-1766852100,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,30,30,1.0000,14.8997,15,0.2433,15,0.7500,15,0.9933,0.1003,0.00,0.0000,0.0000,0.1003,100.10,RESOLVED
2025-12-27T17:30:10.917754+00:00,btc-updown-15m-1766856600,TRADE,UP,ACCUM,5,5,0.4400,2.2000,5,0.4400,0,0.0000,0,0.0000,0.0000,1.00,-2.2000,2.8000,0.0000,197.80,SUCCESS
2025-12-27T17:30:10.919252+00:00,btc-updown-15m-1766856600,TRADE,DOWN,ACCUM,5,5,0.4900,2.4500,5,0.4400,5,0.4900,5,0.9300,0.3500,0.00,0.3500,0.3500,0.0000,195.35,SUCCESS
2025-12-27T17:30:21.988430+00:00,btc-updown-15m-1766856600,TRADE,UP,ACCUM,5,5,0.4200,2.1000,10,0.4300,5,0.4900,5,0.9200,0.4000,0.50,-1.7500,3.2500,0.0000,193.25,SUCCESS
2025-12-27T17:30:21.989286+00:00,btc-updown-15m-1766856600,TRADE,DOWN,ACCUM,5,5,0.5100,2.5500,10,0.4300,10,0.5000,10,0.9300,0.7000,0.00,0.7000,0.7000,0.0000,190.70,SUCCESS
2025-12-27T17:30:32.815517+00:00,btc-updown-15m-1766856600,TRADE,DOWN,ACCUM,5,5,0.5100,2.5500,10,0.4300,15,0.5033,10,0.9333,0.6667,0.33,-1.8500,3.1500,0.0000,188.15,SUCCESS
2025-12-27T17:30:38.240680+00:00,btc-updown-15m-1766856600,TRADE,UP,ACCUM,5,5,0.3800,1.9000,15,0.4133,15,0.5033,15,0.9167,1.2500,0.00,1.2500,1.2500,0.0000,186.25,SUCCESS
2025-12-27T17:30:49.287608+00:00,btc-updown-15m-1766856600,TRADE,UP,ACCUM,5,5,0.3800,1.9000,20,0.4050,15,0.5033,15,0.9083,1.3750,0.25,-0.6500,4.3500,0.0000,184.35,SUCCESS
2025-12-27T17:30:54.698778+00:00,btc-updown-15m-1766856600,TRADE,DOWN,ACCUM,5,5,0.5500,2.7500,20,0.4050,20,0.5150,20,0.9200,1.6000,0.00,1.6000,1.6000,0.0000,181.60,SUCCESS
2025-12-27T17:31:16.297737+00:00,btc-updown-15m-1766856600,TRADE,UP,ACCUM,5,5,0.3900,1.9500,25,0.4020,20,0.5150,20,0.9170,1.6600,0.20,-0.3500,4.6500,0.0000,179.65,SUCCESS
2025-12-27T17:31:16.299283+00:00,btc-updown-15m-1766856600,TRADE,DOWN,ACCUM,5,5,0.5400,2.7000,25,0.4020,25,0.5200,25,0.9220,1.9500,0.00,1.9500,1.9500,0.0000,176.95,SUCCESS
2025-12-27T17:31:21.698169+00:00,btc-updown-15m-1766856600,TRADE,DOWN,ACCUM,5,2,0.5400,1.0800,25,0.4020,27,0.5215,25,0.9235,1.9130,0.07,0.8700,2.8700,0.0000,175.87,SUCCESS
2025-12-27T17:31:27.107322+00:00,btc-updown-15m-1766856600,TRADE,UP,ACCUM,5,5,0.3900,1.9500,30,0.4000,27,0.5215,27,0.9215,2.1200,0.10,0.9200,3.9200,0.0000,173.92,SUCCESS
