timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-28T00:00:01.948243+00:00,btc-updown-15m-1766879100,RESOLUTION,UP,BINANCE_FALLBACK_SHARED,56,56,1.0000,25.6594,30,0.4067,26,0.5177,26,0.9243,1.9673,0.13,0.0000,0.0000,4.3406,248.15,RESOLVED
2025-12-28T00:00:17.972081+00:00,btc-updown-15m-1766880900,TRADE,UP,ACCUM,5,5,0.4400,2.2000,5,0.4400,0,0.0000,0,0.0000,0.0000,1.00,-2.2000,2.8000,0.0000,245.95,SUCCESS
2025-12-28T00:00:28.776848+00:00,btc-updown-15m-1766880900,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,5,0.4400,5,0.5000,5,0.9400,0.3000,0.00,0.3000,0.3000,0.0000,243.45,SUCCESS
2025-12-28T00:00:50.561511+00:00,btc-updown-15m-1766880900,TRADE,UP,ACCUM,5,5,0.4300,2.1500,10,0.4350,5,0.5000,5,0.9350,0.3250,0.50,-1.8500,3.1500,0.0000,241.30,SUCCESS
2025-12-28T00:00:50.566431+00:00,btc-updown-15m-1766880900,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,10,0.4350,10,0.5000,10,0.9350,0.6500,0.00,0.6500,0.6500,0.0000,238.80,SUCCESS
2025-12-28T00:00:55.977213+00:00,btc-updown-15m-1766880900,TRADE,UP,ACCUM,5,5,0.4300,2.1500,15,0.4333,10,0.5000,10,0.9333,0.6667,0.33,-1.5000,3.5000,0.0000,236.65,SUCCESS
2025-12-28T00:01:01.401639+00:00,btc-updown-15m-1766880900,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,15,0.4333,15,0.5000,15,0.9333,1.0000,0.00,1.0000,1.0000,0.0000,234.15,SUCCESS
2025-12-28T00:01:06.802315+00:00,btc-updown-15m-1766880900,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,15,0.4333,20,0.5000,15,0.9333,1.0000,0.25,-1.5000,3.5000,0.0000,231.65,SUCCESS
2025-12-28T00:01:12.186009+00:00,btc-updown-15m-1766880900,TRADE,UP,ACCUM,5,5,0.4300,2.1500,20,0.4325,20,0.5000,20,0.9325,1.3500,0.00,1.3500,1.3500,0.0000,229.50,SUCCESS
2025-12-28T00:01:12.191173+00:00,btc-updown-15m-1766880900,TRADE,DOWN,ACCUM,5,5,0.5000,2.5000,20,0.4325,25,0.5000,20,0.9325,1.3500,0.20,-1.1500,3.8500,0.0000,227.00,SUCCESS
